ENSPTET00000020613 ENSPTEG00000015358
ENSCCET00000001097 ENSCCEG00000000789
ENSDCDT00000066071 ENSDCDG00000032072
ENSDCDT00000066145 ENSDCDG00000032072
ENSCHAT00000027878 ENSCHAG00000012215
ENSCHAT00000028125 ENSCHAG00000012215
ENSCHAT00000028196 ENSCHAG00000012215
ENSPNAT00000011110 ENSPNAG00000008525
ENSAMXT00000011870 ENSAMXG00000011549
ENSIPUT00000018845 ENSIPUG00000012277
ENSEEET00000007502 ENSEEEG00000003847
ENSEEET00000007507 ENSEEEG00000003847
ENSEEET00000007509 ENSEEEG00000003847
ENSEEET00000007513 ENSEEEG00000003847
