ENSOANT00000012368 ENSOANG00000007762
ENSOANT00000012369 ENSOANG00000007763
ENSOANT00000006963 ENSOANG00000004395
ENSOANT00000006964 ENSOANG00000004395
ENSOANT00000007371 ENSOANG00000004649
ENSOANT00000021870 ENSOANG00000013865
ENSOANT00000005663 ENSOANG00000003570
ENSOANT00000005664 ENSOANG00000003570
ENSOANT00000021319 ENSOANG00000013513
ENSOANT00000007792 ENSOANG00000004917
ENSOANT00000007793 ENSOANG00000004917
ENSOANT00000030652 ENSOANG00000013815
ENSOANT00000021790 ENSOANG00000013815
ENSOANT00000010727 ENSOANG00000006718
ENSOANT00000030658 ENSOANG00000006718
ENSOANT00000019153 ENSOANG00000012091
ENSOANT00000019155 ENSOANG00000012091
ENSOANT00000029276 ENSOANG00000020063
ENSOANT00000005851 ENSOANG00000003689
ENSOANT00000021789 ENSOANG00000013814
ENSOANT00000021788 ENSOANG00000013814
ENSOANT00000020683 ENSOANG00000013081
ENSOANT00000005854 ENSOANG00000003690
ENSOANT00000016859 ENSOANG00000010636
ENSOANT00000029928 ENSOANG00000020540
ENSOANT00000000422 ENSOANG00000000246
ENSOANT00000000420 ENSOANG00000000245
ENSOANT00000000421 ENSOANG00000000245
ENSOANT00000031972 ENSOANG00000022092
ENSOANT00000031971 ENSOANG00000022092
ENSOANT00000023003 ENSOANG00000014600
ENSOANT00000018271 ENSOANG00000011527
ENSOANT00000018272 ENSOANG00000011527
ENSOANT00000024541 ENSOANG00000015579
ENSOANT00000008482 ENSOANG00000005328
ENSOANT00000008485 ENSOANG00000005328
ENSOANT00000030632 ENSOANG00000021087
ENSOANT00000016509 ENSOANG00000010409
ENSOANT00000020516 ENSOANG00000012974
ENSOANT00000010615 ENSOANG00000006653
ENSPCIT00000034091 ENSPCIG00000020711
ENSVURT00010032491 ENSVURG00010021821
ENSMODT00000067282 ENSMODG00000045632
ENSMODT00000068629 ENSMODG00000051300
ENSMODT00000075104 ENSMODG00000048776
ENSMODT00000083731 ENSMODG00000041316
ENSMODT00000087220 ENSMODG00000050639
ENSMODT00000070291 ENSMODG00000042132
ENSMODT00000059727 ENSMODG00000039258
ENSMODT00000055984 ENSMODG00000040864
ENSMODT00000060014 ENSMODG00000046498
ENSMODT00000080700 ENSMODG00000051217
ENSMODT00000084169 ENSMODG00000047881
ENSMODT00000087113 ENSMODG00000044154
ENSMODT00000053275 ENSMODG00000047249
ENSMODT00000060097 ENSMODG00000037083
ENSMODT00000063254 ENSMODG00000036685
ENSMODT00000066562 ENSMODG00000044793
ENSMODT00000069258 ENSMODG00000045199
ENSMODT00000070007 ENSMODG00000045957
ENSDNOT00000041605 ENSDNOG00000031137
ENSDNOT00000037164 ENSDNOG00000033302
ENSBMUT00000026122 ENSBMUG00000017055
ENSBTAT00000081654 ENSBTAG00000053000
