ENSUPAT00010019653 ENSUPAG00010013744
ENSSTOT00000023099 ENSSTOG00000030885
ENSSDAT00000009196 ENSSDAG00000007381
ENSCCNT00000023295 ENSCCNG00000018194
MGP_CAROLIEiJ_T0080858 MGP_CAROLIEiJ_G0030033
MGP_CAROLIEiJ_T0080859 MGP_CAROLIEiJ_G0030034
MGP_SPRETEiJ_T0084228 MGP_SPRETEiJ_G0031143
MGP_SPRETEiJ_T0084229 MGP_SPRETEiJ_G0031144
ENSMUST00000220185 ENSMUSG00000073998
ENSMUST00000098264 ENSMUSG00000073998
ENSMSIT00000041510 ENSMSIG00000027555
MGP_PahariEiJ_T0017697 MGP_PahariEiJ_G0013254
ENSRNOT00000051450 ENSRNOG00000030788
ENSRNOT00000071384 ENSRNOG00000030788
ENSRNOT00000024311 ENSRNOG00000030788
ENSMUGT00000019975 ENSMUGG00000014754
