ENSSDAT00000020212 ENSSDAG00000016132
ENSUPAT00010014419 ENSUPAG00010010207
ENSCCNT00000028668 ENSCCNG00000022027
ENSOCUT00000044269 ENSOCUG00000033695
ENSTGET00000022245 ENSTGEG00000015053
ENSPTET00000050694 ENSPTEG00000035049
ENSPPYT00000010566 ENSPPYG00000009052
ENSCJAT00000117124 ENSCJAG00000056195
ENSPSMT00000039737 ENSPSMG00000023754
ENSUMAT00000032110 ENSUMAG00000019713
ENSUAMT00000021486 ENSUAMG00000015175
ENSNVIT00000026116 ENSNVIG00000017499
ENSVVUT00000007428 ENSVVUG00000004342
ENSPPRT00000031413 ENSPPRG00000021544
