ENSLAFT00000028592 ENSLAFG00000027228
ENSPCAT00000003525 ENSPCAG00000003572
ENSDNOT00000006979 ENSDNOG00000006987
ENSCCAT00000031751 ENSCCAG00000024971
ENSCJAT00000038896 ENSCJAG00000019811
ENSANAT00000043843 ENSANAG00000030678
ENSMNET00000036579 ENSMNEG00000030501
ENSMNET00000036584 ENSMNEG00000030501
ENSMFAT00000018873 ENSMFAG00000039624
ENSMMUT00000055081 ENSMMUG00000044514
ENSMLET00000041484 ENSMLEG00000033186
ENSPANT00000000115 ENSPANG00000024487
ENSCATT00000062050 ENSCATG00000041589
ENSCATT00000013417 ENSCATG00000012013
ENSRBIT00000065995 ENSRBIG00000044290
ENSRROT00000040825 ENSRROG00000032470
ENSGGOT00000011223 ENSGGOG00000011181
ENST00000259845 ENSG00000204538
ENSPTRT00000077930 ENSPTRG00000052111
ENSPPAT00000046876 ENSPPAG00000035173
ENSPPYT00000020032 ENSPPYG00000017207
ENSNLET00000007246 ENSNLEG00000005700
ENSTGET00000018435 ENSTGEG00000012469
ENSTGET00000012628 ENSTGEG00000008597
ENSCSAT00000006438 ENSCSAG00000008388
ENSPTET00000044400 ENSPTEG00000031050
