ENSMICT00000014611 ENSMICG00000014616
ENSPSMT00000038376 ENSPSMG00000022979
ENSPSMT00000038377 ENSPSMG00000022979
ENSPCOT00000034833 ENSPCOG00000024248
ENSPPAT00000004460 ENSPPAG00000004059
ENSPPAT00000004492 ENSPPAG00000004059
ENSPTRT00000076905 ENSPTRG00000007259
ENSPTRT00000013394 ENSPTRG00000007259
ENST00000331090 ENSG00000183324
ENST00000560581 ENSG00000183324
ENSGGOT00000000745 ENSGGOG00000000741
ENSGGOT00000060000 ENSGGOG00000000741
ENSNLET00000018137 ENSNLEG00000014221
ENSNLET00000059913 ENSNLEG00000014221
ENSMFAT00000007212 ENSMFAG00000003031
ENSMFAT00000007214 ENSMFAG00000003031
ENSMMUT00000013787 ENSMMUG00000009867
ENSMMUT00000040373 ENSMMUG00000009867
ENSMNET00000042341 ENSMNEG00000033004
ENSMNET00000042344 ENSMNEG00000033004
ENSCATT00000038817 ENSCATG00000031364
ENSCATT00000038822 ENSCATG00000031364
ENSMLET00000038537 ENSMLEG00000031713
ENSMLET00000038542 ENSMLEG00000031713
ENSTGET00000041096 ENSTGEG00000027599
ENSTGET00000041098 ENSTGEG00000027599
ENSPANT00000022495 ENSPANG00000016123
ENSPANT00000038109 ENSPANG00000016123
ENSCSAT00000012101 ENSCSAG00000014012
ENSRROT00000066837 ENSRROG00000044322
ENSRROT00000066838 ENSRROG00000044322
ENSPTET00000034998 ENSPTEG00000025075
ENSPTET00000035000 ENSPTEG00000025075
