ENSCINT00000033920 ENSCING00000024103
ENSCINT00000036039 ENSCING00000019771
ENSCSAVT00000001558 ENSCSAVG00000000879
ENSCSAVT00000001559 ENSCSAVG00000000879
ENSEBUT00000007669 ENSEBUG00000004714
ENSEBUT00000007678 ENSEBUG00000004714
ENSEBUT00000007703 ENSEBUG00000004714
ENSEBUT00000014827 ENSEBUG00000008983
ENSPCIT00000032576 ENSPCIG00000019844
ENSMEUT00000012144 ENSMEUG00000012109
ENSVURT00010030180 ENSVURG00010020274
ENSSHAT00000017549 ENSSHAG00000014789
ENSMODT00000034894 ENSMODG00000009262
ENSUAMT00000029114 ENSUAMG00000020252
ENSUMAT00000027978 ENSUMAG00000017198
ENSAMET00000009734 ENSAMEG00000008873
ENSNVIT00000033774 ENSNVIG00000022464
ENSNVIT00000033782 ENSNVIG00000022464
