ENSOCUT00000026077 ENSOCUG00000026029
ENSOCUT00000061683 ENSOCUG00000032044
ENSOPRT00000007508 ENSOPRG00000007518
ENSTBET00000001031 ENSTBEG00000001023
ENST00000533603 ENSG00000149257
ENST00000358171 ENSG00000149257
ENST00000526242 ENSG00000149257
ENST00000526397 ENSG00000149257
ENST00000529643 ENSG00000149257
ENST00000525492 ENSG00000149257
ENST00000530284 ENSG00000149257
ENST00000532356 ENSG00000149257
ENST00000524558 ENSG00000149257
ENST00000528990 ENSG00000149257
ENST00000533449 ENSG00000149257
ENST00000525611 ENSG00000149257
ENST00000528760 ENSG00000149257
ENST00000525876 ENSG00000149257
ENSGGOT00000005421 ENSGGOG00000005397
ENSPPAT00000060367 ENSPPAG00000041483
ENSPTRT00000007606 ENSPTRG00000004083
ENSPPYT00000004390 ENSPPYG00000003691
ENSNLET00000021528 ENSNLEG00000016882
ENSMFAT00000032584 ENSMFAG00000043814
ENSMMUT00000010750 ENSMMUG00000007675
ENSMMUT00000088260 ENSMMUG00000007675
ENSMNET00000045275 ENSMNEG00000034292
ENSMNET00000045279 ENSMNEG00000034292
ENSTGET00000041809 ENSTGEG00000028071
ENSTGET00000041810 ENSTGEG00000028071
ENSPANT00000050523 ENSPANG00000015277
ENSPANT00000025851 ENSPANG00000015277
ENSMLET00000034760 ENSMLEG00000029842
ENSCATT00000066137 ENSCATG00000043530
ENSCATT00000066142 ENSCATG00000043530
ENSCSAT00000001942 ENSCSAG00000003909
