ENSCINT00000025657 ENSCING00000013955
ENSCINT00000006854 ENSCING00000003343
ENSCSAVT00000014702 ENSCSAVG00000008508
T10B5.4a.1 WBGene00020390
T10B5.4b.1 WBGene00020390
T10B5.4c.1 WBGene00020390
T10B5.4d.1 WBGene00020390
FBtr0334669 FBgn0051248
FBtr0081564 FBgn0051248
FBtr0081350 FBgn0032839
FBtr0086514 FBgn0034429
FBtr0086562 FBgn0034426
FBtr0300592 FBgn0034428
FBtr0079243 FBgn0031791
FBtr0340167 FBgn0031791
FBtr0070832 FBgn0029813
FBtr0072254 FBgn0019643
FBtr0072255 FBgn0019643
FBtr0302448 FBgn0040376
FBtr0302447 FBgn0040376
FBtr0070437 FBgn0040376
FBtr0302449 FBgn0040376
R05H10.1.1 WBGene00011042
ENSCINT00000025116 ENSCING00000013574
FBtr0303649 FBgn0051493
FBtr0081566 FBgn0051493
ENSCSAVT00000019733 ENSCSAVG00000011447
ENSCSAVT00000019734 ENSCSAVG00000011448
ENSCSAVT00000015511 ENSCSAVG00000008998
M7.8.1 WBGene00010884
M7.12.1 WBGene00010887
ENSCINT00000031038 ENSCING00000020758
ENSCSAVT00000012822 ENSCSAVG00000007443
ENSCINT00000004391 ENSCING00000011893
ENSCINT00000033011 ENSCING00000024911
R05H10.7.1 WBGene00011046
W02D7.5.1 WBGene00020941
W02D7.4.1 WBGene00020940
