FBtr0083574 FBgn0038597
F13H8.2.1 WBGene00017435
ENSHHUT00000086643 ENSHHUG00000048727
ENSPMAT00000000993 ENSPMAG00000000901
ENSCINT00000010464 ENSCING00000005068
ENSVURT00010012105 ENSVURG00010008236
ENSPCIT00000001448 ENSPCIG00000000938
ENSPCIT00000001468 ENSPCIG00000000938
ENSPCIT00000001481 ENSPCIG00000000938
ENSMEUT00000009728 ENSMEUG00000009673
ENSSHAT00000005980 ENSSHAG00000005169
ENSMODT00000006596 ENSMODG00000005243
ENSMODT00000069443 ENSMODG00000005243
ENSMNET00000057020 ENSMNEG00000039555
ENSMNET00000057027 ENSMNEG00000039555
ENSMNET00000057029 ENSMNEG00000039555
ENSMMUT00000011907 ENSMMUG00000008513
ENSMMUT00000011909 ENSMMUG00000008513
ENSMFAT00000010854 ENSMFAG00000034570
ENSMFAT00000010868 ENSMFAG00000034570
ENSMFAT00000010872 ENSMFAG00000034570
ENSTGET00000012016 ENSTGEG00000008189
ENSPANT00000023899 ENSPANG00000020680
ENSPANT00000023900 ENSPANG00000020680
ENSPANT00000056404 ENSPANG00000020680
ENSMLET00000046235 ENSMLEG00000035516
ENSMLET00000046250 ENSMLEG00000035516
ENSMLET00000046256 ENSMLEG00000035516
ENSCATT00000051977 ENSCATG00000037200
ENSCATT00000051978 ENSCATG00000037200
ENSCATT00000051980 ENSCATG00000037200
ENSCSAT00000016824 ENSCSAG00000001705
ENSPTET00000048345 ENSPTEG00000033520
