ENSDCDT00000050829 ENSDCDG00000026403
ENSLBET00000034798 ENSLBEG00000025106
ENSTRUT00000058326 ENSTRUG00000024937
ENSPMGT00000027996 ENSPMGG00000021206
ENSXMAT00000026123 ENSXMAG00000022575
ENSXCOT00000020456 ENSXCOG00000015150
ENSPMET00000016600 ENSPMEG00000024461
ENSFHET00000006187 ENSFHEG00000007024
ENSKMAT00000012432 ENSKMAG00000009210
ENSGWIT00000042836 ENSGWIG00000020011
ENSCSET00000012462 ENSCSEG00000007955
ENSCSET00000030205 ENSCSEG00000019104
ENSCSET00000018275 ENSCSEG00000011587
ENSSMAT00000032505 ENSSMAG00000019674
ENSPRET00000028300 ENSPREG00000018939
ENSPLAT00000014363 ENSPLAG00000002757
ENSCVAT00000003908 ENSCVAG00000008708
