FBtr0082376 FBgn0040255
FBtr0308027 FBgn0040253
FBtr0085813 FBgn0051002
FBtr0082375 FBgn0026314
FBtr0082374 FBgn0026315
FBtr0303507 FBgn0039086
FBtr0084419 FBgn0039086
FBtr0084418 FBgn0039087
FBtr0084420 FBgn0039085
FBtr0335217 FBgn0040252
FBtr0082340 FBgn0040252
FBtr0082373 FBgn0040250
FBtr0082338 FBgn0040259
FBtr0082337 FBgn0040257
FBtr0082378 FBgn0040251
FBtr0346101 FBgn0040251
FBtr0075037 FBgn0036842
FBtr0332648 FBgn0036842
FBtr0082657 FBgn0038082
FBtr0302379 FBgn0038083
FBtr0081372 FBgn0026756
FBtr0079242 FBgn0026755
FBtr0080909 FBgn0040262
FBtr0331620 FBgn0040262
FBtr0087076 FBgn0026754
FBtr0080910 FBgn0040261
FBtr0344850 FBgn0040260
FBtr0080911 FBgn0040260
FBtr0080912 FBgn0040260
FBtr0289952 FBgn0031887
FBtr0073204 FBgn0042179
FBtr0332979 FBgn0042179
C07A9.6.1 WBGene00007402
