>ENSGAFT00000002382	ENSGAFG00000001629
>ENSPRET00000017378	ENSPREG00000011625
>ENSPLAT00000011842	ENSPLAG00000004574
>ENSPRET00000009701	ENSPREG00000006507
>ENSPRET00000033903	ENSPREG00000022716
>ENSXMAT00000026692	ENSXMAG00000022322
>ENSXMAT00000039378	ENSXMAG00000020958
>ENSXMAT00000030456	ENSXMAG00000025739
>ENSXCOT00000003335	ENSXCOG00000002598
>ENSXCOT00000021716	ENSXCOG00000016061
>ENSXCOT00000020117	ENSXCOG00000014921
>ENSPRET00000016952	ENSPREG00000011343
>ENSPLAT00000005851	ENSPLAG00000008860
>ENSPRET00000017331	ENSPREG00000011594
>ENSXMAT00000022503	ENSXMAG00000027360
>ENSPRET00000014366	ENSPREG00000009649
>ENSFHET00000003792	ENSFHEG00000008567
>ENSFHET00000033746	ENSFHEG00000018536
