ENSPMAT00000007707 ENSPMAG00000006946
ENSSFOT00015027405 ENSSFOG00015017377
ENSSFOT00015027437 ENSSFOG00015017377
ENSPKIT00000000204 ENSPKIG00000004695
ENSCHAT00000027527 ENSCHAG00000011209
ENSCHAT00000027548 ENSCHAG00000011209
ENSCHAT00000027629 ENSCHAG00000011209
ENSCHAT00000027779 ENSCHAG00000011209
ENSCHAT00000027795 ENSCHAG00000011209
ENSCHAT00000027855 ENSCHAG00000011209
ENSDCDT00000026988 ENSDCDG00000013987
ENSDCDT00000026992 ENSDCDG00000013987
ENSDCDT00000027152 ENSDCDG00000013987
ENSDCDT00000027154 ENSDCDG00000013987
ENSAMXT00000011241 ENSAMXG00000010946
