>FBtr0075519	FBgn0036557
>C32A3.2.1	WBGene00007859
>ENSEEET00000037010	ENSEEEG00000017376
>ENSIPUT00000032804	ENSIPUG00000021226
>ENSDART00000147007	ENSDARG00000057855
>ENSDART00000080609	ENSDARG00000057855
>ENSDCDT00000062769	ENSDCDG00000031065
>ENSCHAT00000007010	ENSCHAG00000003907
>ENSGWIT00000024364	ENSGWIG00000011932
>ENSPMGT00000003930	ENSPMGG00000003183
>ENSTRUT00000042290	ENSTRUG00000016490
>ENSLCRT00005056358	ENSLCRG00005020685
>ENSCGOT00000045961	ENSCGOG00000019427
>ENSSDUT00000014365	ENSSDUG00000010247
