ENSPTET00000038853 ENSPTEG00000027548
ENSPSMT00000034305 ENSPSMG00000020634
ENSTGET00000014496 ENSTGEG00000009835
ENSAOCT00000015163 ENSAOCG00000003149
ENSAOCT00000015174 ENSAOCG00000003149
ENSAOCT00000015187 ENSAOCG00000003149
ENSAPET00000024554 ENSAPEG00000016960
ENSAPET00000024566 ENSAPEG00000016960
ENSAPET00000024593 ENSAPEG00000016960
ENSAPOT00000011324 ENSAPOG00000005313
ENSAPOT00000011355 ENSAPOG00000005313
ENSAPOT00000011417 ENSAPOG00000005313
ENSSPAT00000010266 ENSSPAG00000007607
ENSSPAT00000010319 ENSSPAG00000007607
ENSSPAT00000010403 ENSSPAG00000007607
ENSPRNT00000055931 ENSPRNG00000024444
ENSPRNT00000055935 ENSPRNG00000024444
ENSPRNT00000055940 ENSPRNG00000024444
ENSPRNT00000055963 ENSPRNG00000024444
ENSPRNT00000055964 ENSPRNG00000024444
ENSPRNT00000055967 ENSPRNG00000024444
ENSPRNT00000055984 ENSPRNG00000024444
ENSPRNT00000056012 ENSPRNG00000024444
ENSACLT00000015572 ENSACLG00000010321
ENSACLT00000015600 ENSACLG00000010321
ENSACLT00000015636 ENSACLG00000010321
ENSACLT00000015702 ENSACLG00000010321
ENSMZET00005013968 ENSMZEG00005010116
ENSMZET00005013996 ENSMZEG00005010116
ENSMZET00005014026 ENSMZEG00005010116
ENSPNYT00000010509 ENSPNYG00000007725
ENSPNYT00000010529 ENSPNYG00000007725
ENSPNYT00000010553 ENSPNYG00000007725
ENSHBUT00000018939 ENSHBUG00000013415
ENSNBRT00000027385 ENSNBRG00000020329
ENSNBRT00000027409 ENSNBRG00000020329
ENSONIT00000018062 ENSONIG00000014354
