ENSEBUT00000004278 ENSEBUG00000002762
ENSEBUT00000005172 ENSEBUG00000003285
ENSEBUT00000016693 ENSEBUG00000010134
ENSEBUT00000006145 ENSEBUG00000003850
ENSEBUT00000018517 ENSEBUG00000011209
ENSEBUT00000001910 ENSEBUG00000001310
ENSEBUT00000001759 ENSEBUG00000001235
ENSEBUT00000018420 ENSEBUG00000011153
ENSEBUT00000010939 ENSEBUG00000006688
ENSEBUT00000020714 ENSEBUG00000012496
ENSEBUT00000016062 ENSEBUG00000009760
ENSEBUT00000003746 ENSEBUG00000002443
ENSEBUT00000015746 ENSEBUG00000009553
ENSEBUT00000023593 ENSEBUG00000014182
ENSEBUT00000021942 ENSEBUG00000013197
ENSEBUT00000015659 ENSEBUG00000009509
ENSEBUT00000009558 ENSEBUG00000005847
ENSEBUT00000015916 ENSEBUG00000009673
ENSEBUT00000018169 ENSEBUG00000010997
ENSEBUT00000002777 ENSEBUG00000001881
ENSEBUT00000023706 ENSEBUG00000014254
ENSEBUT00000006395 ENSEBUG00000003981
ENSEBUT00000010575 ENSEBUG00000006444
ENSEBUT00000028197 ENSEBUG00000016911
ENSEBUT00000010679 ENSEBUG00000006512
ENSEBUT00000025686 ENSEBUG00000015488
ENSEBUT00000009520 ENSEBUG00000005825
ENSEBUT00000015783 ENSEBUG00000009579
ENSEBUT00000016322 ENSEBUG00000009907
ENSEBUT00000019132 ENSEBUG00000011584
ENSEBUT00000007790 ENSEBUG00000004778
