ENSGALT00000102326 ENSGALG00000047120
ENSVURT00010035022 ENSVURG00010023527
ENSMODT00000088116 ENSMODG00000029107
ENSMODT00000066703 ENSMODG00000029107
ENSMODT00000053721 ENSMODG00000029107
ENSMODT00000073697 ENSMODG00000029107
ENSMODT00000066057 ENSMODG00000029107
ENSMODT00000043832 ENSMODG00000029107
ENSMODT00000087115 ENSMODG00000029107
ENSMODT00000078799 ENSMODG00000029107
ENSMODT00000082176 ENSMODG00000029107
ENSCMIT00000030384 ENSCMIG00000012914
ENSCMIT00000030385 ENSCMIG00000012914
ENSCINT00000033937 ENSCING00000020317
