ENSMEUT00000008220 ENSMEUG00000008197
ENSMODT00000011332 ENSMODG00000008917
ENSSTOT00000020790 ENSSTOG00000027964
ENSSTOT00000034577 ENSSTOG00000027964
ENSUPAT00010003657 ENSUPAG00010002620
ENSPTRT00000026573 ENSPTRG00000014224
ENST00000310624 ENSG00000100285
ENSPPAT00000055980 ENSPPAG00000039424
ENSGGOT00000012019 ENSGGOG00000011976
ENSPPYT00000013573 ENSPPYG00000011691
ENSNLET00000003807 ENSNLEG00000002992
ENSMNET00000058636 ENSMNEG00000040303
ENSMMUT00000097278 ENSMMUG00000005451
ENSPANT00000009716 ENSPANG00000026169
ENSMFAT00000032886 ENSMFAG00000043930
ENSCATT00000043325 ENSCATG00000033368
ENSTGET00000037450 ENSTGEG00000025218
ENSCSAT00000007766 ENSCSAG00000009678
ENSRBIT00000048039 ENSRBIG00000035975
ENSRROT00000059250 ENSRROG00000040944
