ENSAOCT00000018682 ENSAOCG00000015617
ENSAPET00000029954 ENSAPEG00000020744
ENSSPAT00000002330 ENSSPAG00000001759
ENSPRNT00000001042 ENSPRNG00000000664
ENSPRNT00000000977 ENSPRNG00000000630
ENSPRNT00000001007 ENSPRNG00000000645
ENSPRET00000012768 ENSPREG00000008580
ENSPRET00000012774 ENSPREG00000008580
ENSXMAT00000033632 ENSXMAG00000027832
ENSXMAT00000032959 ENSXMAG00000027832
ENSMMOT00000014758 ENSMMOG00000011106
ENSCGOT00000050388 ENSCGOG00000021163
ENSLCRT00005039097 ENSLCRG00005014897
ENSLCRT00005039099 ENSLCRG00005014897
ENSGACT00000001456 ENSGACG00000001123
ENSTNIT00000005778 ENSTNIG00000003060
