ENSCPUT00000007672 ENSCPUG00000004625
ENSOANT00000042351 ENSOANG00000028911
ENSDCDT00000050948 ENSDCDG00000022891
ENSDCDT00000051395 ENSDCDG00000022891
ENSDCDT00000051508 ENSDCDG00000022891
ENSCHAT00000048062 ENSCHAG00000020072
ENSCHAT00000048085 ENSCHAG00000020072
ENSCHAT00000048114 ENSCHAG00000020072
ENSCHAT00000048144 ENSCHAG00000020072
ENSCHAT00000048231 ENSCHAG00000020072
ENSCHAT00000048280 ENSCHAG00000020072
ENSAMXT00000040763 ENSAMXG00000005181
ENSAMXT00000039953 ENSAMXG00000005181
ENSAMXT00000005307 ENSAMXG00000005181
