ENSPMAT00000001111 ENSPMAG00000000974
ENSEBUT00000008645 ENSEBUG00000005300
ENSEBUT00000008674 ENSEBUG00000005300
ENSEBUT00000008699 ENSEBUG00000005300
ENSDCDT00000042731 ENSDCDG00000022680
ENSDCDT00000042733 ENSDCDG00000022680
ENSDCDT00000042739 ENSDCDG00000022680
ENSDCDT00000042742 ENSDCDG00000022680
ENSDCDT00000042743 ENSDCDG00000022680
ENSDCDT00000042744 ENSDCDG00000022680
ENSDCDT00000042749 ENSDCDG00000022680
ENSCHAT00000038200 ENSCHAG00000016691
ENSCHAT00000038218 ENSCHAG00000016691
ENSCHAT00000038232 ENSCHAG00000016691
ENSCHAT00000038253 ENSCHAG00000016691
ENSCHAT00000038283 ENSCHAG00000016691
ENSCHAT00000038302 ENSCHAG00000016691
ENSCHAT00000038314 ENSCHAG00000016691
