>ENSOMET00000033154	ENSOMEG00000014904
>ENSOMET00000028180	ENSOMEG00000020824
>ENSMAMT00000026235	ENSMAMG00000017175
>ENSPKIT00000000626	ENSPKIG00000004955
>ENSSPUT00000013556	ENSSPUG00000009778
>ENSNSUT00000017931	ENSNSUG00000012419
>ENSSPUT00000012634	ENSSPUG00000009097
>ENSCABT00000018454	ENSCABG00000012492
>ENSGAGT00000010724	ENSGAGG00000007385
>ENSLCOT00000012187	ENSLCOG00000008347
>ENSABRT00000013602	ENSABRG00000008533
>ENSNPET00000021229	ENSNPEG00000015390
>ENSIPUT00000019112	ENSIPUG00000012463
