>ENSPPAT00000064306	ENSPPAG00000043305
>ENSPTRT00000106361	ENSPTRG00000047392
>ENSGGOT00000067462	ENSGGOG00000043545
>ENSMLET00000064231	ENSMLEG00000044320
>ENSCATT00000049272	ENSCATG00000036020
>ENSMNET00000044751	ENSMNEG00000034071
>ENSTGET00000026808	ENSTGEG00000018176
>ENSMLET00000059615	ENSMLEG00000042131
>ENSTGET00000008571	ENSTGEG00000005830
>ENSMLET00000044862	ENSMLEG00000034898
>ENSPTET00000041121	ENSPTEG00000028988
>ENSPTET00000041126	ENSPTEG00000028988
>ENSPTET00000023042	ENSPTEG00000017117
>ENSRROT00000051737	ENSRROG00000037502
>ENSRROT00000035448	ENSRROG00000030015
>ENSRROT00000066786	ENSRROG00000044303
>ENSMMUT00000088937	ENSMMUG00000064388
>ENSPTET00000043703	ENSPTEG00000030602
>ENSPANT00000052837	ENSPANG00000030996
>ENSMLET00000050268	ENSMLEG00000037569
>ENSMNET00000033326	ENSMNEG00000029048
>ENSMFAT00000014383	ENSMFAG00000046234
>ENSCATT00000045232	ENSCATG00000034265
>ENSPANT00000045267	ENSPANG00000030987
>ENSRBIT00000034826	ENSRBIG00000029456
>ENSPTET00000035967	ENSPTEG00000025715
>ENSRBIT00000061799	ENSRBIG00000042459
