ENSPPYT00000000871 ENSPPYG00000000725
ENSTBET00000002588 ENSTBEG00000002592
ENSTTRT00000001399 ENSTTRG00000001399
ENSSART00000011287 ENSSARG00000011293
ENSPCAT00000008294 ENSPCAG00000008311
ENSCHOT00000004229 ENSCHOG00000004215
ENSPCOT00000031736 ENSPCOG00000022530
ENSMICT00000002247 ENSMICG00000002248
ENSMICT00000051957 ENSMICG00000002248
ENSRROT00000052992 ENSRROG00000038103
ENSRROT00000052993 ENSRROG00000038103
ENSRROT00000052995 ENSRROG00000038103
ENSRROT00000052996 ENSRROG00000038103
ENSRROT00000052998 ENSRROG00000038103
ENSRROT00000052999 ENSRROG00000038103
ENSPTET00000015455 ENSPTEG00000011553
ENSPTET00000015463 ENSPTEG00000011553
ENSPTET00000015472 ENSPTEG00000011553
ENSPTET00000015479 ENSPTEG00000011553
ENSTGET00000001488 ENSTGEG00000001109
ENSTGET00000001491 ENSTGEG00000001109
ENSTGET00000001493 ENSTGEG00000001109
ENSRBIT00000048115 ENSRBIG00000036011
ENSRBIT00000048118 ENSRBIG00000036011
