ENSAOCT00000025594 ENSAOCG00000021541
ENSAPOT00000023188 ENSAPOG00000017633
ENSAPOT00000023223 ENSAPOG00000017633
ENSAPOT00000032945 ENSAPOG00000017633
ENSPRNT00000000050 ENSPRNG00000000021
ENSPRNT00000000051 ENSPRNG00000000021
ENSGAFT00000020238 ENSGAFG00000013560
ENSXMAT00000005165 ENSXMAG00000005146
ENSPMET00000001356 ENSPMEG00000010914
ENSPFOT00000012429 ENSPFOG00000012346
ENSPRET00000000723 ENSPREG00000000514
ENSCVAT00000004789 ENSCVAG00000000699
ENSFHET00000030619 ENSFHEG00000023018
ENSFHET00000030664 ENSFHEG00000023018
ENSORLT00000028321 ENSORLG00000023891
