>ENSTRUT00000028306	ENSTRUG00000011169
>ENSTNIT00000022300	ENSTNIG00000018879
>ENSBSLT00000044196	ENSBSLG00000019423
>ENSBSLT00000044206	ENSBSLG00000019423
>ENSCSET00000015486	ENSCSEG00000009838
>ENSGWIT00000024405	ENSGWIG00000011953
>ENSHCOT00000026282	ENSHCOG00000013345
>ENSLCRT00005029649	ENSLCRG00005011538
>ENSLCRT00005029657	ENSLCRG00005011538
>ENSLCRT00005029663	ENSLCRG00005011538
>ENSGACT00000001377	ENSGACG00000001066
>ENSFHET00000026284	ENSFHEG00000019315
>ENSFHET00000026289	ENSFHEG00000019315
>ENSCVAT00000022802	ENSCVAG00000017611
>ENSCVAT00000031294	ENSCVAG00000017611
>ENSPMET00000013123	ENSPMEG00000003086
>ENSPMET00000013133	ENSPMEG00000003086
>ENSPLAT00000007315	ENSPLAG00000007821
>ENSPFOT00000015956	ENSPFOG00000015864
>ENSPRET00000025867	ENSPREG00000017286
>ENSXMAT00000035096	ENSXMAG00000025052
>ENSXCOT00000016813	ENSXCOG00000012531
>ENSGAFT00000023684	ENSGAFG00000015824
>ENSGAFT00000023691	ENSGAFG00000015824
>ENSKMAT00000015078	ENSKMAG00000011131
>ENSKMAT00000015089	ENSKMAG00000011131
