ENSMEUT00000002188 ENSMEUG00000002188
ENSVURT00010025536 ENSVURG00010017184
ENSMEUT00000009005 ENSMEUG00000008989
ENSMEUT00000010818 ENSMEUG00000010802
ENSVURT00010025557 ENSVURG00010017197
ENSVURT00010025544 ENSVURG00010017189
ENSVURT00010025627 ENSVURG00010017257
ENSMEUT00000011664 ENSMEUG00000011640
ENSPCIT00000067243 ENSPCIG00000035298
ENSCCNT00000004152 ENSCCNG00000003406
ENSCCNT00000016579 ENSCCNG00000013122
ENSDORT00000035589 ENSDORG00000024361
ENSDORT00000028828 ENSDORG00000025468
ENSDORT00000036838 ENSDORG00000025015
ENSMSIT00000022169 ENSMSIG00000014965
ENSMUST00000216950 ENSMUSG00000062757
ENSMUST00000077302 ENSMUSG00000062757
MGP_CAROLIEiJ_T0052836 MGP_CAROLIEiJ_G0023879
MGP_SPRETEiJ_T0054929 MGP_SPRETEiJ_G0024795
ENSMSIT00000022092 ENSMSIG00000014914
ENSMUST00000215929 ENSMUSG00000057447
ENSMUST00000076438 ENSMUSG00000057447
MGP_PahariEiJ_T0063832 MGP_PahariEiJ_G0025323
