ENSHHUT00000012419 ENSHHUG00000007362
ENSPKIT00000039748 ENSPKIG00000002053
ENSECRT00000015671 ENSECRG00000010275
ENSDCDT00000032702 ENSDCDG00000018262
ENSDCDT00000032878 ENSDCDG00000018262
ENSDCDT00000032899 ENSDCDG00000018262
ENSDCDT00000033241 ENSDCDG00000018262
ENSDCDT00000033352 ENSDCDG00000018262
ENSDCDT00000033353 ENSDCDG00000018262
ENSDCDT00000033387 ENSDCDG00000018262
ENSDCDT00000033391 ENSDCDG00000018262
ENSDCDT00000036979 ENSDCDG00000020168
ENSDCDT00000036980 ENSDCDG00000020168
ENSDCDT00000037034 ENSDCDG00000020168
ENSDCDT00000037108 ENSDCDG00000020168
ENSDCDT00000037171 ENSDCDG00000020168
ENSDCDT00000037172 ENSDCDG00000020168
ENSDCDT00000037193 ENSDCDG00000020168
ENSDCDT00000022111 ENSDCDG00000012757
ENSDCDT00000022133 ENSDCDG00000012757
ENSDCDT00000022291 ENSDCDG00000012757
ENSDCDT00000022317 ENSDCDG00000012757
ENSDCDT00000022327 ENSDCDG00000012757
ENSDCDT00000022354 ENSDCDG00000012757
ENSDCDT00000022358 ENSDCDG00000012757
ENSDCDT00000022366 ENSDCDG00000012757
ENSDCDT00000022385 ENSDCDG00000012757
ENSCHAT00000001924 ENSCHAG00000001231
