ENSOANT00000039754 ENSOANG00000031351
ENSCHAT00000030957 ENSCHAG00000011321
ENSCHAT00000031008 ENSCHAG00000011321
ENSCHAT00000031050 ENSCHAG00000011321
ENSCHAT00000031100 ENSCHAG00000011321
ENSCHAT00000031160 ENSCHAG00000011321
ENSCHAT00000031202 ENSCHAG00000011321
ENSCHAT00000031222 ENSCHAG00000011321
ENSCHAT00000031253 ENSCHAG00000011321
ENSCHAT00000031270 ENSCHAG00000011321
ENSCHAT00000031294 ENSCHAG00000011321
ENSDCDT00000025994 ENSDCDG00000013621
ENSDCDT00000026002 ENSDCDG00000013621
ENSDCDT00000026021 ENSDCDG00000013621
ENSDCDT00000026027 ENSDCDG00000013621
ENSDCDT00000026031 ENSDCDG00000013621
ENSDCDT00000026034 ENSDCDG00000013621
ENSDCDT00000026037 ENSDCDG00000013621
ENSDCDT00000026043 ENSDCDG00000013621
ENSAMXT00000017852 ENSAMXG00000017346
