ENSGGOT00000052717 ENSGGOG00000037616
ENSPTRT00000089301 ENSPTRG00000049447
ENSMFAT00000043234 ENSMFAG00000009942
ENSMNET00000030219 ENSMNEG00000027419
ENSMLET00000059185 ENSMLEG00000041930
ENSPANT00000051321 ENSPANG00000034931
ENSPANT00000044469 ENSPANG00000034161
ENSTGET00000002550 ENSTGEG00000001810
ENSPANT00000033686 ENSPANG00000031260
ENSTGET00000006080 ENSTGEG00000004181
ENSMFAT00000065529 ENSMFAG00000030729
ENSCATT00000047982 ENSCATG00000035434
ENSPTET00000036849 ENSPTEG00000026279
ENSCJAT00000094528 ENSCJAG00000055680
