ENSCINT00000022575 ENSCING00000011757
ENSCSAVT00000020210 ENSCSAVG00000011734
ENSCINT00000027427 ENSCING00000015272
ENSCINT00000022608 ENSCING00000011784
ENSCSAVT00000017110 ENSCSAVG00000009957
ENSCINT00000024409 ENSCING00000013101
ENSCSAVT00000011661 ENSCSAVG00000006751
ENSCSAVT00000005632 ENSCSAVG00000003315
ENSCINT00000015675 ENSCING00000007653
ENSCSAVT00000019402 ENSCSAVG00000011272
ENSCSAVT00000019403 ENSCSAVG00000011272
ENSCSAVT00000005602 ENSCSAVG00000003307
ENSCSAVT00000005603 ENSCSAVG00000003307
ENSCINT00000015674 ENSCING00000007652
