ENSEBUT00000011677 ENSEBUG00000007089
ENSPVIT00000042103 ENSPVIG00000024979
ENSPVIT00000042105 ENSPVIG00000024979
ENSPVIT00000042106 ENSPVIG00000024979
ENSSMRT00000033855 ENSSMRG00000022329
ENSSMRT00000033856 ENSSMRG00000022329
ENSAHAT00000004870 ENSAHAG00000003384
ENSAHAT00000004929 ENSAHAG00000003384
ENSAHAT00000004999 ENSAHAG00000003384
ENSAHAT00000005047 ENSAHAG00000003384
ENSARWT00000020814 ENSARWG00000012598
ENSARWT00000020815 ENSARWG00000012598
ENSARWT00000020816 ENSARWG00000012598
ENSAOWT00000010980 ENSAOWG00000005120
ENSAOWT00000012012 ENSAOWG00000005120
ENSDNVT00000017408 ENSDNVG00000007432
ENSDNVT00000017442 ENSDNVG00000007432
