C24H12.2.1 WBGene00016072
C24H12.5a.1 WBGene00016074
C24H12.5b.1 WBGene00016074
C24H12.5c.1 WBGene00016074
C24H12.5d.1 WBGene00016074
C24H12.5e.1 WBGene00016074
FBtr0078802 FBgn0086695
FBtr0347559 FBgn0086695
ENSEBUT00000016955 ENSEBUG00000010272
ENSCHAT00000028681 ENSCHAG00000012842
ENSDCDT00000024297 ENSDCDG00000014088
ENSDCDT00000024313 ENSDCDG00000014088
ENSPMET00000010724 ENSPMEG00000004666
ENSPMET00000010728 ENSPMEG00000004666
ENSPLAT00000001730 ENSPLAG00000011811
ENSPFOT00000008883 ENSPFOG00000008811
ENSPRET00000027505 ENSPREG00000018398
ENSXMAT00000004423 ENSXMAG00000004408
ENSGAFT00000004187 ENSGAFG00000002823
ENSFHET00000004528 ENSFHEG00000008087
ENSCVAT00000023081 ENSCVAG00000017910
ENSCVAT00000023132 ENSCVAG00000017910
ENSKMAT00000025473 ENSKMAG00000018646
ENSORLT00000045088 ENSORLG00000020700
ENSORLT00000025641 ENSORLG00000020700
