ENSOANT00000030405 ENSOANG00000020909
ENSOANT00000015167 ENSOANG00000009551
ENSDNOT00000012872 ENSDNOG00000012879
ENSCHOT00000009251 ENSCHOG00000009229
ENSGGOT00000061256 ENSGGOG00000005700
ENSGGOT00000005724 ENSGGOG00000005700
ENST00000428126 ENSG00000165682
ENST00000298527 ENSG00000165682
ENST00000348658 ENSG00000165682
ENSPPAT00000042146 ENSPPAG00000032879
ENSPTRT00000008628 ENSPTRG00000004664
ENSPPYT00000005053 ENSPPYG00000004263
ENSNLET00000038192 ENSNLEG00000003077
ENSNLET00000003942 ENSNLEG00000003077
ENSRROT00000062335 ENSRROG00000042348
ENSRROT00000062337 ENSRROG00000042348
ENSRBIT00000044381 ENSRBIG00000034234
ENSRBIT00000044383 ENSRBIG00000034234
ENSRBIT00000044386 ENSRBIG00000034234
ENSPTET00000010831 ENSPTEG00000008074
ENSPTET00000010836 ENSPTEG00000008074
