ENSCSAVT00000018514 ENSCSAVG00000010757
ENSCINT00000025990 ENSCING00000014169
ENSCSAVT00000015510 ENSCSAVG00000008997
ENSCINT00000035809 ENSCING00000018780
ENSCSAVT00000013374 ENSCSAVG00000007767
ENSCSAVT00000013376 ENSCSAVG00000007767
ENSCSAVT00000013377 ENSCSAVG00000007767
ENSCSAVT00000013378 ENSCSAVG00000007767
ENSCSAVT00000013379 ENSCSAVG00000007767
ENSCINT00000002799 ENSCING00000000938
ENSCINT00000033575 ENSCING00000024808
ENSCSAVT00000012144 ENSCSAVG00000007056
ENSCSAVT00000012145 ENSCSAVG00000007056
ENSCSAVT00000019766 ENSCSAVG00000011468
ENSCSAVT00000019767 ENSCSAVG00000011468
ENSCSAVT00000019768 ENSCSAVG00000011468
ENSCSAVT00000019770 ENSCSAVG00000011468
ENSCSAVT00000019771 ENSCSAVG00000011468
ENSCSAVT00000019772 ENSCSAVG00000011468
ENSCSAVT00000019773 ENSCSAVG00000011468
ENSCINT00000005098 ENSCING00000002503
ENSCINT00000005107 ENSCING00000002503
ENSCINT00000034661 ENSCING00000023181
ENSCINT00000022580 ENSCING00000011763
ENSCSAVT00000010434 ENSCSAVG00000006076
