ENSMEUT00000013746 ENSMEUG00000013696
ENSVURT00010019708 ENSVURG00010013248
ENSMODT00000020462 ENSMODG00000016102
ENSMICT00000073064 ENSMICG00000048868
ENSMICT00000072789 ENSMICG00000048868
ENSMICT00000072489 ENSMICG00000048868
ENSPCOT00000019731 ENSPCOG00000015937
ENSPCOT00000019733 ENSPCOG00000015937
ENSPSMT00000040360 ENSPSMG00000024118
ENSPSMT00000040361 ENSPSMG00000024118
ENSPSMT00000040362 ENSPSMG00000024118
ENSOGAT00000009460 ENSOGAG00000009457
ENSPTRT00000111095 ENSPTRG00000015608
ENSPTRT00000067985 ENSPTRG00000015608
ENSPTRT00000090932 ENSPTRG00000015608
ENSPTRT00000078231 ENSPTRG00000015608
ENSPPAT00000043775 ENSPPAG00000033721
ENST00000316428 ENSG00000114248
ENST00000264676 ENSG00000114248
ENST00000523069 ENSG00000114248
