>F42F12.6.1	WBGene00009637
>F42F12.7.1	WBGene00009638
>F42F12.1.1	WBGene00009634
>F42F12.10.1	WBGene00023493
>F42F12.8.1	WBGene00009639
>F42F12.8.2	WBGene00009639
>F42F12.9.1	WBGene00009640
>C03G5.8.1	WBGene00023477
>C03G5.2.1	WBGene00015392
>C03G5.10.1	WBGene00044338
>C03G5.9.1	WBGene00044337
>C03G5.13.1	WBGene00044357
>C03G5.12.1	WBGene00044340
>C03G5.11.1	WBGene00044339
>D1025.9.1	WBGene00008360
>D1025.6.1	WBGene00008357
>D1025.4.1	WBGene00008356
>D1025.8.1	WBGene00008359
>D1025.7.1	WBGene00008358
