ENSOART00000016982 ENSOARG00000015612
ENSOART00000018002 ENSOARG00000016532
ENSOART00000002875 ENSOARG00000002656
ENSOART00000000054 ENSOARG00000000052
ENSOART00000000055 ENSOARG00000000052
ENSOART00000012685 ENSOARG00000011665
ENSOART00000016337 ENSOARG00000015012
ENSOART00000015969 ENSOARG00000014669
ENSOART00000021673 ENSOARG00000019906
ENSOART00000016146 ENSOARG00000014835
ENSOART00000016125 ENSOARG00000014818
ENSOART00000004573 ENSOARG00000004203
ENSOART00000010322 ENSOARG00000009479
ENSOART00000010501 ENSOARG00000009646
ENSOART00000010504 ENSOARG00000009646
ENSSSCT00000070322 ENSSSCG00000050975
ENSSSCT00000077937 ENSSSCG00000045777
ENSSSCT00000090571 ENSSSCG00000044275
ENSCJAT00000105478 ENSCJAG00000051576
ENSMMUT00000083204 ENSMMUG00000063428
