ENSVURT00010025493 ENSVURG00010017155
ENSPCIT00000026022 ENSPCIG00000016025
ENSPCIT00000026018 ENSPCIG00000016025
ENSSHAT00000009920 ENSSHAG00000008514
ENSMODT00000073730 ENSMODG00000016311
ENSCCNT00000037011 ENSCCNG00000027047
ENSCCNT00000037168 ENSCCNG00000027047
ENSCCNT00000037278 ENSCCNG00000027047
ENSPVIT00000013818 ENSPVIG00000006262
ENSPVIT00000014698 ENSPVIG00000006262
ENSNSUT00000027452 ENSNSUG00000018397
ENSNSUT00000027776 ENSNSUG00000018397
ENSNSUT00000027786 ENSNSUG00000018397
ENSNSUT00000027827 ENSNSUG00000018397
ENSNSUT00000027828 ENSNSUG00000018397
ENSNSUT00000027867 ENSNSUG00000018397
ENSNSUT00000027868 ENSNSUG00000018397
ENSGALT00000056316 ENSGALG00000037943
ENSGALT00000078523 ENSGALG00000037943
ENSCJPT00005017434 ENSCJPG00005010228
ENSCJPT00005017435 ENSCJPG00005010228
ENSNMET00000020317 ENSNMEG00000012159
ENSNMET00000020318 ENSNMEG00000012159
ENSNMET00000020319 ENSNMEG00000012159
