ENSHHUT00000069936 ENSHHUG00000039862
ENSELUT00000004751 ENSELUG00000009508
ENSGWIT00000052729 ENSGWIG00000023859
ENSHCOT00000022003 ENSHCOG00000017754
ENSHCOT00000027667 ENSHCOG00000017754
ENSSMAT00000016488 ENSSMAG00000009981
ENSTRUT00000026877 ENSTRUG00000010603
ENSTNIT00000014998 ENSTNIG00000011842
ENSMMOT00000003157 ENSMMOG00000001606
ENSMMOT00000003333 ENSMMOG00000001606
ENSGACT00000005455 ENSGACG00000004139
ENSGACT00000005462 ENSGACG00000004139
ENSLCRT00005021303 ENSLCRG00005008496
ENSLCRT00005021306 ENSLCRG00005008496
ENSLBET00000002454 ENSLBEG00000001832
ENSSDUT00000011961 ENSSDUG00000008563
