>ENSPVIT00000011207	ENSPVIG00000007039
>ENSACAT00000009439	ENSACAG00000009436
>ENSNSUT00000017925	ENSNSUG00000012403
>ENSNSUT00000017926	ENSNSUG00000012403
>ENSSMRT00000032025	ENSSMRG00000021135
>ENSSPUT00000012695	ENSSPUG00000009133
>ENSAOWT00000000745	ENSAOWG00000000509
>ENSAOWT00000000751	ENSAOWG00000000509
>ENSAHAT00000013437	ENSAHAG00000008785
>ENSAHAT00000013438	ENSAHAG00000008785
>ENSARWT00000029980	ENSARWG00000017936
>ENSARWT00000029982	ENSARWG00000017936
>ENSNPET00000021232	ENSNPEG00000015393
>ENSCPGT00000010647	ENSCPGG00000006899
>ENSCPUT00000011773	ENSCPUG00000006991
>ENSMUNT00000006567	ENSMUNG00000004633
>ENSLCOT00000012190	ENSLCOG00000008350
>ENSMVIT00005023260	ENSMVIG00005014563
