>ENSVURT00010004340	ENSVURG00010003057
>ENSSHAT00000014474	ENSSHAG00000012264
>ENSSHAT00000014475	ENSSHAG00000012264
>ENSMODT00000031805	ENSMODG00000019545
>ENSMODT00000087703	ENSMODG00000019545
>ENSPTRT00000096431	ENSPTRG00000013160
>ENSPTRT00000059351	ENSPTRG00000013160
>ENSPTRT00000024419	ENSPTRG00000013160
>ENSPTRT00000085441	ENSPTRG00000013160
>ENSPPAT00000010569	ENSPPAG00000009647
>ENSPPAT00000010665	ENSPPAG00000009647
>ENSPPAT00000010815	ENSPPAG00000009647
>ENST00000402452	ENSG00000244588
>ENST00000409241	ENSG00000244588
>ENST00000246108	ENSG00000244588
