ENSVURT00010012279 ENSVURG00010008348
ENSPCIT00000067798 ENSPCIG00000031965
ENSSHAT00000005472 ENSSHAG00000004734
ENSSHAT00000005473 ENSSHAG00000004734
ENSMODT00000084304 ENSMODG00000040176
ENSMSIT00000048038 ENSMSIG00000031717
ENSMUST00000037701 ENSMUSG00000034382
ENSMUST00000150819 ENSMUSG00000034382
MGP_CAROLIEiJ_T0045085 MGP_CAROLIEiJ_G0021700
MGP_CAROLIEiJ_T0045086 MGP_CAROLIEiJ_G0021700
MGP_PahariEiJ_T0044603 MGP_PahariEiJ_G0020690
MGP_PahariEiJ_T0044604 MGP_PahariEiJ_G0020690
ENSRNOT00000020516 ENSRNOG00000015297
ENSMUGT00000025709 ENSMUGG00000018785
