ENSMSIT00000025693 ENSMSIG00000017260
MGP_SPRETEiJ_T0018433 MGP_SPRETEiJ_G0014903
MGP_SPRETEiJ_T0018434 MGP_SPRETEiJ_G0014903
MGP_SPRETEiJ_T0018435 MGP_SPRETEiJ_G0014903
MGP_SPRETEiJ_T0018436 MGP_SPRETEiJ_G0014903
MGP_SPRETEiJ_T0018437 MGP_SPRETEiJ_G0014903
MGP_SPRETEiJ_T0018438 MGP_SPRETEiJ_G0014903
MGP_SPRETEiJ_T0018439 MGP_SPRETEiJ_G0014903
MGP_SPRETEiJ_T0018440 MGP_SPRETEiJ_G0014903
MGP_SPRETEiJ_T0018441 MGP_SPRETEiJ_G0014903
MGP_SPRETEiJ_T0018442 MGP_SPRETEiJ_G0014903
MGP_SPRETEiJ_T0018443 MGP_SPRETEiJ_G0014903
MGP_SPRETEiJ_T0018444 MGP_SPRETEiJ_G0014903
MGP_SPRETEiJ_T0018445 MGP_SPRETEiJ_G0014903
ENSMUST00000027215 ENSMUSG00000026049
ENSMUST00000156392 ENSMUSG00000026049
ENSMUST00000128190 ENSMUSG00000026049
ENSMUST00000147571 ENSMUSG00000026049
ENSMUST00000133677 ENSMUSG00000026049
ENSMUST00000150911 ENSMUSG00000026049
ENSMUST00000152239 ENSMUSG00000026049
ENSMUST00000129702 ENSMUSG00000026049
ENSMUST00000147661 ENSMUSG00000026049
ENSMUST00000127923 ENSMUSG00000026049
ENSMUST00000143327 ENSMUSG00000026049
ENSMUST00000149502 ENSMUSG00000026049
ENSMUST00000125540 ENSMUSG00000026049
MGP_CAROLIEiJ_T0017426 MGP_CAROLIEiJ_G0014099
MGP_CAROLIEiJ_T0017427 MGP_CAROLIEiJ_G0014099
MGP_CAROLIEiJ_T0017428 MGP_CAROLIEiJ_G0014099
MGP_CAROLIEiJ_T0017429 MGP_CAROLIEiJ_G0014099
MGP_CAROLIEiJ_T0017430 MGP_CAROLIEiJ_G0014099
MGP_CAROLIEiJ_T0017431 MGP_CAROLIEiJ_G0014099
MGP_CAROLIEiJ_T0017432 MGP_CAROLIEiJ_G0014099
MGP_CAROLIEiJ_T0017433 MGP_CAROLIEiJ_G0014099
MGP_CAROLIEiJ_T0017434 MGP_CAROLIEiJ_G0014099
MGP_CAROLIEiJ_T0017435 MGP_CAROLIEiJ_G0014099
MGP_CAROLIEiJ_T0017436 MGP_CAROLIEiJ_G0014099
MGP_CAROLIEiJ_T0017437 MGP_CAROLIEiJ_G0014099
MGP_CAROLIEiJ_T0017438 MGP_CAROLIEiJ_G0014099
ENSRNOT00000015600 ENSRNOG00000011658
