ENSPMAT00000003949 ENSPMAG00000003593
ENSEBUT00000019364 ENSEBUG00000011723
ENSEBUT00000019376 ENSEBUG00000011723
ENSACAT00000001468 ENSACAG00000001470
ENSNSUT00000012491 ENSNSUG00000008828
ENSSMRT00000019223 ENSSMRG00000012807
ENSSPUT00000014223 ENSSPUG00000010247
ENSMVIT00005011007 ENSMVIG00005007105
ENSMVIT00005011010 ENSMVIG00005007105
ENSMVIT00005011016 ENSMVIG00005007105
ENSMVIT00005011021 ENSMVIG00005007105
ENSMVIT00005011029 ENSMVIG00005007105
ENSMVIT00005011035 ENSMVIG00005007105
ENSABRT00000036795 ENSABRG00000021964
ENSABRT00000036798 ENSABRG00000021964
