ENSMICT00000004864 ENSMICG00000004869
ENSPSMT00000013432 ENSPSMG00000008318
ENSOGAT00000002509 ENSOGAG00000002507
ENSPTRT00000017107 ENSPTRG00000009313
ENSPTRT00000088098 ENSPTRG00000046938
ENSPPAT00000028991 ENSPPAG00000026104
ENST00000329196 ENSG00000185294
ENSGGOT00000011520 ENSGGOG00000011476
ENSPPYT00000009699 ENSPPYG00000008297
ENSCJAT00000074801 ENSCJAG00000045646
ENSCJAT00000116432 ENSCJAG00000060689
ENSCCNT00000042067 ENSCCNG00000031733
ENSDORT00000032720 ENSDORG00000029902
ENSDORT00000035547 ENSDORG00000029902
MGP_SPRETEiJ_T0031869 MGP_SPRETEiJ_G0018133
MGP_SPRETEiJ_T0031870 MGP_SPRETEiJ_G0018133
ENSMUST00000107000 ENSMUSG00000049506
ENSMUST00000059448 ENSMUSG00000049506
ENSMSIT00000041122 ENSMSIG00000027312
MGP_CAROLIEiJ_T0030425 MGP_CAROLIEiJ_G0017290
MGP_CAROLIEiJ_T0030426 MGP_CAROLIEiJ_G0017290
MGP_PahariEiJ_T0037144 MGP_PahariEiJ_G0018420
MGP_PahariEiJ_T0037145 MGP_PahariEiJ_G0018420
ENSRNOT00000006808 ENSRNOG00000005104
ENSMUGT00000003710 ENSMUGG00000002888
