ENSVURT00010020571 ENSVURG00010013829
ENSSHAT00000007686 ENSSHAG00000006626
ENSMODT00000044445 ENSMODG00000028096
ENSSHAT00000009010 ENSSHAG00000007740
ENSVURT00010020603 ENSVURG00010013838
ENSDNOT00000001795 ENSDNOG00000001797
ENSCHOT00000000559 ENSCHOG00000000553
ENSPCAT00000007640 ENSPCAG00000007656
ENSETET00000010263 ENSETEG00000010263
ENSPTRT00000055218 ENSPTRG00000028413
ENSPPAT00000056237 ENSPPAG00000039543
ENST00000422698 ENSG00000204403
ENSGGOT00000012117 ENSGGOG00000012075
ENSPPYT00000004547 ENSPPYG00000003823
ENSCATT00000041830 ENSCATG00000032709
ENSCATT00000041833 ENSCATG00000032709
ENSTGET00000021820 ENSTGEG00000014774
ENSPANT00000014171 ENSPANG00000003600
ENSPANT00000040730 ENSPANG00000003600
ENSMFAT00000053683 ENSMFAG00000019805
ENSMFAT00000053779 ENSMFAG00000019805
ENSMFAT00000053987 ENSMFAG00000019805
ENSMNET00000041090 ENSMNEG00000032441
ENSMNET00000041101 ENSMNEG00000032441
ENSMMUT00000055572 ENSMMUG00000016548
ENSMMUT00000023241 ENSMMUG00000016548
ENSMMUT00000082067 ENSMMUG00000016548
ENSMMUT00000078926 ENSMMUG00000016548
ENSCSAT00000001112 ENSCSAG00000003084
