ENSETET00000017679 ENSETEG00000017681
ENSLAFT00000029788 ENSLAFG00000031605
ENSPSMT00000038572 ENSPSMG00000023086
ENSMICT00000030940 ENSMICG00000026374
ENSOGAT00000031929 ENSOGAG00000031013
ENSPTRT00000097228 ENSPTRG00000049411
ENSPPAT00000014920 ENSPPAG00000013631
ENST00000599174 ENSG00000267909
ENSPPYT00000007024 ENSPPYG00000005943
ENSNLET00000038024 ENSNLEG00000031552
ENSTGET00000029248 ENSTGEG00000019823
ENSPANT00000023232 ENSPANG00000017912
ENSCATT00000009658 ENSCATG00000008772
ENSMMUT00000098607 ENSMMUG00000058118
ENSMFAT00000019429 ENSMFAG00000000299
ENSMNET00000012936 ENSMNEG00000011906
ENSCSAT00000019660 ENSCSAG00000019570
ENSPTET00000048325 ENSPTEG00000033508
