ENSLACT00000010444 ENSLACG00000009130
ENSXETT00000000926 ENSXETG00000005926
ENSXETT00000001236 ENSXETG00000005926
ENSXETT00000001264 ENSXETG00000005926
ENSXETT00000001475 ENSXETG00000005926
ENSECRT00000016340 ENSECRG00000010700
ENSECRT00000016349 ENSECRG00000010700
ENSECRT00000016355 ENSECRG00000010700
ENSPMET00000030108 ENSPMEG00000023629
ENSPMET00000035074 ENSPMEG00000023629
ENSPMET00000035077 ENSPMEG00000023629
ENSPFOT00000004413 ENSPFOG00000004450
ENSPLAT00000017361 ENSPLAG00000000314
ENSPLAT00000017377 ENSPLAG00000000314
ENSPRET00000020320 ENSPREG00000013591
ENSXMAT00000016276 ENSXMAG00000016208
ENSXMAT00000024581 ENSXMAG00000016208
ENSGAFT00000011577 ENSGAFG00000007768
ENSFHET00000017628 ENSFHEG00000012212
ENSKMAT00000011992 ENSKMAG00000008876
ENSPRNT00000048032 ENSPRNG00000021983
ENSGWIT00000013822 ENSGWIG00000007030
ENSGWIT00000013828 ENSGWIG00000007030
ENSGWIT00000013835 ENSGWIG00000007030
