ENSCVAT00000026375 ENSCVAG00000020759
ENSFHET00000033715 ENSFHEG00000018455
ENSXMAT00000036635 ENSXMAG00000027378
ENSXCOT00000008885 ENSXCOG00000006698
ENSXCOT00000008886 ENSXCOG00000006698
ENSGAFT00000018109 ENSGAFG00000012148
ENSPFOT00000023540 ENSPFOG00000023619
ENSPMET00000001897 ENSPMEG00000010544
ENSPLAT00000013648 ENSPLAG00000003278
ENSPRET00000023795 ENSPREG00000015898
ENSPMET00000001890 ENSPMEG00000010550
ENSPLAT00000013622 ENSPLAG00000003305
ENSPFOT00000021826 ENSPFOG00000022455
ENSPRET00000023760 ENSPREG00000015875
ENSGAFT00000018107 ENSGAFG00000012146
ENSCVAT00000026337 ENSCVAG00000000533
ENSFHET00000025318 ENSFHEG00000018466
ENSKMAT00000000286 ENSKMAG00000000257
