ENSLOCT00000021468 ENSLOCG00000017326
ENSLOCT00000003248 ENSLOCG00000002756
ENSDCDT00000022061 ENSDCDG00000012735
ENSDCDT00000037206 ENSDCDG00000020369
ENSDCDT00000041867 ENSDCDG00000022304
ENSDCDT00000052088 ENSDCDG00000026877
ENSXCOT00000017591 ENSXCOG00000013093
ENSHCOT00000004898 ENSHCOG00000007436
ENSHCOT00000020934 ENSHCOG00000000471
ENSFHET00000012852 ENSFHEG00000002853
ENSFHET00000005940 ENSFHEG00000007211
ENSFHET00000012829 ENSFHEG00000002865
ENSFHET00000029614 ENSFHEG00000022106
ENSCVAT00000010804 ENSCVAG00000004138
ENSPRET00000008528 ENSPREG00000005756
ENSPRET00000008048 ENSPREG00000005456
ENSPRET00000018621 ENSPREG00000012484
ENSPMET00000004859 ENSPMEG00000008574
ENSPLAT00000031951 ENSPLAG00000023379
ENSPLAT00000027861 ENSPLAG00000022994
ENSPLAT00000001745 ENSPLAG00000011810
ENSPLAT00000001731 ENSPLAG00000011817
ENSPMET00000012600 ENSPMEG00000003431
ENSXCOT00000011884 ENSXCOG00000008881
ENSXMAT00000032736 ENSXMAG00000028672
ENSPMGT00000001892 ENSPMGG00000001593
