ENSEBUT00000007230 ENSEBUG00000004455
ENSVURT00010023147 ENSVURG00010015555
ENSVURT00010023153 ENSVURG00010015555
ENSVURT00010023166 ENSVURG00010015555
ENSPCIT00000066244 ENSPCIG00000007420
ENSPCIT00000011358 ENSPCIG00000007420
ENSMEUT00000003765 ENSMEUG00000003753
ENSMODT00000031717 ENSMODG00000010056
ENSMODT00000056210 ENSMODG00000010056
ENSCCNT00000033223 ENSCCNG00000025441
ENSCCNT00000033226 ENSCCNG00000025441
ENSUPAT00010016952 ENSUPAG00010011875
ENSSTOT00000032808 ENSSTOG00000002774
ENSSTOT00000002769 ENSSTOG00000002774
