ENSLACT00000013392 ENSLACG00000011707
ENSCMIT00000008259 ENSCMIG00000004323
ENSCMIT00000034880 ENSCMIG00000014589
ENSCMIT00000034882 ENSCMIG00000014591
ENSCMIT00000034884 ENSCMIG00000014591
ENSCMIT00000034849 ENSCMIG00000014576
ENSCMIT00000034859 ENSCMIG00000014583
ENSCMIT00000034866 ENSCMIG00000014583
ENSCMIT00000034871 ENSCMIG00000014583
ENSCMIT00000034876 ENSCMIG00000014583
ENSCMIT00000034830 ENSCMIG00000014551
ENSCMIT00000034834 ENSCMIG00000014551
ENSCMIT00000034835 ENSCMIG00000014551
ENSCMIT00000034710 ENSCMIG00000014515
ENSCMIT00000034714 ENSCMIG00000014515
ENSCMIT00000034720 ENSCMIG00000014515
ENSCMIT00000034724 ENSCMIG00000014515
ENSCMIT00000000338 ENSCMIG00000000244
ENSCMIT00000034758 ENSCMIG00000014536
ENSCMIT00000034843 ENSCMIG00000014570
ENSLACT00000010645 ENSLACG00000009311
ENSDCDT00000030152 ENSDCDG00000017056
ENSDCDT00000030155 ENSDCDG00000017056
ENSCHAT00000050916 ENSCHAG00000021756
ENSCHAT00000050923 ENSCHAG00000021756
