>ENSMFAT00000040722	ENSMFAG00000007498
>ENSMNET00000030278	ENSMNEG00000027467
>ENSMLET00000006764	ENSMLEG00000006099
>ENSTGET00000014403	ENSTGEG00000009768
>ENSPANT00000042580	ENSPANG00000030769
>ENSCATT00000025176	ENSCATG00000021769
>ENSRROT00000014709	ENSRROG00000013236
>ENSRBIT00000036458	ENSRBIG00000030344
>ENSPTRT00000101911	ENSPTRG00000046482
>ENSPPAT00000060105	ENSPPAG00000041361
>ENSPTRT00000100410	ENSPTRG00000050200
>ENSNLET00000059206	ENSNLEG00000030128
>ENSGGOT00000045825	ENSGGOG00000042663
