ENSDCDT00000015259 ENSDCDG00000007753
ENSCHAT00000028643 ENSCHAG00000012800
ENSCHAT00000028543 ENSCHAG00000012755
ENSIPUT00000011974 ENSIPUG00000007831
ENSIPUT00000026529 ENSIPUG00000017252
ENSIPUT00000026531 ENSIPUG00000017252
ENSIPUT00000025836 ENSIPUG00000016786
ENSIPUT00000025828 ENSIPUG00000016779
ENSIPUT00000025818 ENSIPUG00000016775
ENSIPUT00000034614 ENSIPUG00000022390
ENSIPUT00000034608 ENSIPUG00000022385
ENSIPUT00000034610 ENSIPUG00000022385
ENSIPUT00000013335 ENSIPUG00000008724
ENSIPUT00000013302 ENSIPUG00000008707
ENSIPUT00000013322 ENSIPUG00000008716
ENSIPUT00000008239 ENSIPUG00000005429
ENSIPUT00000008245 ENSIPUG00000005429
ENSAMXT00000022255 ENSAMXG00000021608
