ENSCINT00000015378 ENSCING00000007497
ENSCINT00000011730 ENSCING00000005668
ENSGAFT00000028732 ENSGAFG00000019229
ENSGAFT00000028734 ENSGAFG00000019229
ENSGAFT00000028736 ENSGAFG00000019229
ENSGAFT00000028737 ENSGAFG00000019229
ENSFHET00000014526 ENSFHEG00000001796
ENSFHET00000029321 ENSFHEG00000021856
ENSGAFT00000023253 ENSGAFG00000015545
ENSGAFT00000023259 ENSGAFG00000015545
ENSXCOT00000003621 ENSXCOG00000002826
ENSGAFT00000003305 ENSGAFG00000002239
ENSGAFT00000003318 ENSGAFG00000002239
ENSGAFT00000023239 ENSGAFG00000015536
ENSXMAT00000021417 ENSXMAG00000022231
ENSGAFT00000003248 ENSGAFG00000002201
ENSGAFT00000003262 ENSGAFG00000002201
ENSGAFT00000003271 ENSGAFG00000002201
ENSGAFT00000003279 ENSGAFG00000002201
ENSFHET00000026644 ENSFHEG00000019616
