YIL107C_mRNA YIL107C
YOL136C_mRNA YOL136C
YLR345W_mRNA YLR345W
YJL155C_mRNA YJL155C
Y110A7A.6a.1 WBGene00022456
Y110A7A.6a.2 WBGene00022456
Y110A7A.6a.3 WBGene00022456
Y110A7A.6a.4 WBGene00022456
Y110A7A.6b.1 WBGene00022456
Y110A7A.6b.2 WBGene00022456
K02B2.1.1 WBGene00019295
FBtr0074713 FBgn0027621
FBtr0074714 FBgn0027621
FBtr0074719 FBgn0027621
FBtr0074718 FBgn0027621
FBtr0074715 FBgn0027621
FBtr0307193 FBgn0027621
FBtr0074716 FBgn0027621
FBtr0074720 FBgn0027621
FBtr0339440 FBgn0027621
FBtr0307194 FBgn0027621
FBtr0307192 FBgn0027621
FBtr0339439 FBgn0027621
FBtr0074717 FBgn0027621
ENSEBUT00000021661 ENSEBUG00000013033
ENSEBUT00000021686 ENSEBUG00000013033
ENSEBUT00000021727 ENSEBUG00000013033
ENSEBUT00000021747 ENSEBUG00000013033
ENSEBUT00000021791 ENSEBUG00000013033
ENSEBUT00000019163 ENSEBUG00000011598
ENSCMIT00000007685 ENSCMIG00000003469
ENSCHAT00000053602 ENSCHAG00000019558
ENSCHAT00000054402 ENSCHAG00000019558
ENSCHAT00000054411 ENSCHAG00000019558
ENSCHAT00000054547 ENSCHAG00000019558
ENSCHAT00000054623 ENSCHAG00000019558
ENSCHAT00000054657 ENSCHAG00000019558
ENSDCDT00000072828 ENSDCDG00000034299
ENSDCDT00000072830 ENSDCDG00000034299
ENSDCDT00000072835 ENSDCDG00000034299
ENSDCDT00000072863 ENSDCDG00000034299
ENSDCDT00000072864 ENSDCDG00000034299
ENSDCDT00000072880 ENSDCDG00000034299
ENSDCDT00000072883 ENSDCDG00000034299
ENSDCDT00000072893 ENSDCDG00000034299
ENSDCDT00000072895 ENSDCDG00000034299
