ENSCHAT00000052735 ENSCHAG00000022458
ENSCHAT00000052835 ENSCHAG00000022493
ENSCHAT00000052851 ENSCHAG00000022493
ENSCHAT00000000660 ENSCHAG00000000398
ENSCHAT00000000730 ENSCHAG00000000445
ENSCHAT00000052636 ENSCHAG00000022410
ENSCHAT00000052764 ENSCHAG00000022473
ENSCHAT00000052666 ENSCHAG00000022433
ENSCHAT00000052698 ENSCHAG00000022443
ENSDCDT00000049573 ENSDCDG00000025921
ENSDCDT00000049582 ENSDCDG00000025921
ENSPNAT00000038882 ENSPNAG00000024613
ENSPNAT00000038884 ENSPNAG00000024613
ENSPNAT00000037774 ENSPNAG00000021606
ENSAMXT00000005336 ENSAMXG00000005207
ENSAMXT00000044936 ENSAMXG00000005207
