ENSVURT00010024380 ENSVURG00010016388
ENSPCIT00000026415 ENSPCIG00000016247
ENSSHAT00000002990 ENSSHAG00000002617
ENSMODT00000011683 ENSMODG00000009187
ENSPSMT00000005967 ENSPSMG00000003875
ENSPCOT00000019416 ENSPCOG00000015746
ENSMICT00000004472 ENSMICG00000004476
ENSMICT00000065817 ENSMICG00000004476
ENSPPAT00000032582 ENSPPAG00000028204
ENSPPAT00000032587 ENSPPAG00000028204
ENSPTRT00000091002 ENSPTRG00000002227
ENSPTRT00000004077 ENSPTRG00000002227
ENST00000355360 ENSG00000185220
ENST00000329291 ENSG00000185220
