ENSPSMT00000019748 ENSPSMG00000012108
ENSOGAT00000030662 ENSOGAG00000026802
ENSPPAT00000007379 ENSPPAG00000006844
ENSPTRT00000080800 ENSPTRG00000043804
ENST00000333437 ENSG00000182459
ENSGGOT00000050215 ENSGGOG00000038115
ENSPPYT00000010244 ENSPPYG00000008776
ENSNLET00000050075 ENSNLEG00000035142
ENSTGET00000017947 ENSTGEG00000012169
ENSMMUT00000074668 ENSMMUG00000044068
ENSCSAT00000019137 ENSCSAG00000019047
ENSPTET00000041991 ENSPTEG00000029546
ENSMSIT00000017285 ENSMSIG00000011783
MGP_SPRETEiJ_T0033176 MGP_SPRETEiJ_G0018398
ENSMUST00000039146 ENSMUSG00000039337
MGP_CAROLIEiJ_T0031716 MGP_CAROLIEiJ_G0017554
MGP_PahariEiJ_T0038438 MGP_PahariEiJ_G0018681
ENSRNOT00000054927 ENSRNOG00000036671
ENSMUGT00000026055 ENSMUGG00000019023
ENSMSIT00000017277 ENSMSIG00000011776
MGP_SPRETEiJ_T0033177 MGP_SPRETEiJ_G0018399
MGP_SPRETEiJ_T0033178 MGP_SPRETEiJ_G0018399
ENSMUST00000039088 ENSMUSG00000039329
ENSMUST00000155694 ENSMUSG00000039329
ENSRNOT00000054928 ENSRNOG00000036670
ENSMUGT00000026044 ENSMUGG00000019019
