ENSETET00000007711 ENSETEG00000007713
ENSETET00000014744 ENSETEG00000014744
ENSVURT00010034803 ENSVURG00010023380
ENSVURT00010035240 ENSVURG00010023671
ENSMODT00000073792 ENSMODG00000044488
ENSMODT00000059854 ENSMODG00000049189
ENSMODT00000079288 ENSMODG00000051571
ENSMODT00000060401 ENSMODG00000049497
ENSMODT00000080459 ENSMODG00000037893
ENSMODT00000075628 ENSMODG00000046035
ENSPCIT00000012891 ENSPCIG00000033886
ENSPSMT00000015031 ENSPSMG00000009288
ENSOGAT00000003265 ENSOGAG00000003262
ENST00000434551 ENSG00000237110
ENSMLET00000048831 ENSMLEG00000036854
ENSMNET00000067770 ENSMNEG00000044319
ENSMFAT00000029541 ENSMFAG00000000047
ENSRROT00000031069 ENSRROG00000027667
ENSRBIT00000057983 ENSRBIG00000040722
