ENSATET00000018583 ENSATEG00000012718
ENSKMAT00000029903 ENSKMAG00000021871
ENSCVAT00000008680 ENSCVAG00000005518
ENSATET00000035096 ENSATEG00000023766
ENSMAMT00000031152 ENSMAMG00000020465
ENSSDUT00000021634 ENSSDUG00000015468
ENSPFOT00000027333 ENSPFOG00000023266
ENSPLAT00000032028 ENSPLAG00000023537
ENSXMAT00000027642 ENSXMAG00000024816
ENSXCOT00000011923 ENSXCOG00000008908
ENSPRET00000010759 ENSPREG00000007259
ENSPLAT00000004460 ENSPLAG00000009861
ENSPRET00000002110 ENSPREG00000001532
ENSXCOT00000004485 ENSXCOG00000003499
ENSPFOT00000003226 ENSPFOG00000003366
ENSPFOT00000024274 ENSPFOG00000003366
ENSPMET00000031830 ENSPMEG00000014705
ENSPLAT00000003497 ENSPLAG00000010547
ENSPLAT00000003429 ENSPLAG00000010612
ENSFHET00000015140 ENSFHEG00000001395
ENSFHET00000028277 ENSFHEG00000021020
ENSKMAT00000015519 ENSKMAG00000011441
ENSGAFT00000017980 ENSGAFG00000012055
ENSPFOT00000023036 ENSPFOG00000022423
ENSPFOT00000027196 ENSPFOG00000022423
ENSAPET00000027644 ENSAPEG00000019131
ENSORLT00000015567 ENSORLG00000012434
ENSMALT00000000933 ENSMALG00000000585
ENSHHUT00000047836 ENSHHUG00000028122
ENSHHUT00000047837 ENSHHUG00000028122
ENSHHUT00000047838 ENSHHUG00000028122
ENSHHUT00000047840 ENSHHUG00000028122
ENSHHUT00000047841 ENSHHUG00000028122
ENSHHUT00000047844 ENSHHUG00000028122
ENSHHUT00000047852 ENSHHUG00000028122
ENSHHUT00000047855 ENSHHUG00000028122
ENSHHUT00000047860 ENSHHUG00000028122
ENSHHUT00000047862 ENSHHUG00000028122
ENSHHUT00000080853 ENSHHUG00000045718
ENSAMXT00000018381 ENSAMXG00000017845
ENSDART00000165872 ENSDARG00000101756
ENSDART00000160032 ENSDARG00000101756
ENSDART00000168745 ENSDARG00000101756
ENSDART00000170520 ENSDARG00000102473
ENSDART00000174362 ENSDARG00000102473
ENSDART00000115002 ENSDARG00000095135
ENSDART00000181075 ENSDARG00000116300
ENSDART00000172383 ENSDARG00000110229
ENSDART00000153360 ENSDARG00000089158
ENSDART00000169266 ENSDARG00000102581
ENSDART00000111294 ENSDARG00000079222
ENSDART00000127914 ENSDARG00000088915
ENSDART00000171108 ENSDARG00000101807
ENSDART00000177741 ENSDARG00000116177
ENSDART00000157447 ENSDARG00000098901
ENSDART00000150494 ENSDARG00000100001
ENSDART00000159155 ENSDARG00000100001
ENSDART00000160516 ENSDARG00000109381
ENSDART00000170639 ENSDARG00000105137
ENSDART00000151957 ENSDARG00000112725
ENSDART00000133544 ENSDARG00000112725
ENSDART00000150269 ENSDARG00000096189
ENSDART00000183779 ENSDARG00000096189
ENSDART00000166967 ENSDARG00000115450
ENSDART00000160196 ENSDARG00000098281
ENSDART00000193544 ENSDARG00000098281
ENSDART00000170067 ENSDARG00000100257
ENSDART00000191413 ENSDARG00000101829
ENSDART00000132945 ENSDARG00000089875
ENSDART00000150395 ENSDARG00000089875
ENSDART00000162586 ENSDARG00000112940
ENSDART00000170022 ENSDARG00000114437
ENSDART00000155155 ENSDARG00000102791
ENSDART00000166022 ENSDARG00000107425
ENSDART00000158579 ENSDARG00000107425
ENSDART00000164929 ENSDARG00000098087
ENSDART00000161177 ENSDARG00000098087
ENSDART00000165623 ENSDARG00000113294
ENSDART00000164406 ENSDARG00000110658
ENSDART00000168373 ENSDARG00000104013
ENSDART00000162361 ENSDARG00000103441
ENSDART00000164496 ENSDARG00000103441
ENSDART00000174458 ENSDARG00000108175
ENSDART00000167053 ENSDARG00000094888
ENSDART00000150372 ENSDARG00000094888
ENSDART00000121915 ENSDARG00000087645
ENSDART00000150426 ENSDARG00000087645
ENSDART00000188640 ENSDARG00000087645
ENSDART00000178057 ENSDARG00000105019
ENSDART00000128867 ENSDARG00000105019
ENSDART00000124296 ENSDARG00000105019
