>ENSAPET00000003062	ENSAPEG00000002175
>ENSAOCT00000000219	ENSAOCG00000013004
>ENSAPOT00000007225	ENSAPOG00000007893
>ENSSPAT00000003310	ENSSPAG00000002483
>ENSXCOT00000006077	ENSXCOG00000004662
>ENSXMAT00000032453	ENSXMAG00000022693
>ENSGAFT00000017381	ENSGAFG00000011638
>ENSPFOT00000020419	ENSPFOG00000020269
>ENSPMET00000004941	ENSPMEG00000008516
>ENSPLAT00000004508	ENSPLAG00000009824
>ENSPRET00000006460	ENSPREG00000004426
>ENSFHET00000010448	ENSFHEG00000004395
>ENSCVAT00000001547	ENSCVAG00000010291
>ENSKMAT00000010542	ENSKMAG00000007801
